origen,destino,distancia_km
28001,28001,0.0
28001,28002,130.581027
28001,28003,190.925447
28001,28004,183.007931
28001,28005,107.463336
28001,28006,157.047163
28001,28007,255.108414
28001,28008,52.374072
28001,28009,209.11272
28001,28010,78.893511
28001,28011,146.611127
28001,28012,137.261454
28001,28013,66.312084
28001,28014,291.503332
28001,28015,242.617224
28001,28016,109.8964
28001,28017,125.325403
28001,28018,20.488186
28001,28019,105.720934
28001,28020,137.177442
28001,28021,158.610565
28001,28022,220.440989
28001,28023,119.329729
28001,28024,274.759246
28001,28025,268.347768
28001,28026,150.450181
28001,28027,397.45706
28001,28028,190.497754
28001,28029,167.035429
28001,28030,53.427588
28001,28031,146.281407
28001,28032,226.101675
28001,28033,215.422881
28001,28034,81.753121
28001,28035,90.258187
28001,28036,84.082265
28001,28037,36.867285
28001,28038,211.803113
28001,28039,180.618812
28001,28040,188.095493
28001,28041,87.086624
28001,28042,121.863296
28001,28043,131.881639
28002,28001,130.581027
28002,28002,0.0
28002,28003,60.344421
28002,28004,111.438943
28002,28005,237.174054
28002,28006,181.463552
28002,28007,385.55124
28002,28008,112.549341
28002,28009,78.684483
28002,28010,209.450294
28002,28011,97.791894
28002,28012,37.510315
28002,28013,146.472229
28002,28014,421.935116
28002,28015,372.255531
28002,28016,202.789722
28002,28017,143.645959
28002,28018,150.014743
28002,28019,106.825206
28002,28020,240.374364
28002,28021,94.071701
28002,28022,334.205891
28002,28023,249.805154
28002,28024,405.244325
28002,28025,398.92698
28002,28026,186.482987
28002,28027,527.927024
28002,28028,125.238462
28002,28029,129.580217
28002,28030,151.260674
28002,28031,156.614022
28002,28032,353.432426
28002,28033,340.449035
28002,28034,204.965357
28002,28035,214.714496
28002,28036,211.720643
28002,28037,95.229076
28002,28038,81.262904
28002,28039,168.062776
28002,28040,307.428149
28002,28041,142.31063
28002,28042,224.927403
28002,28043,89.692673
28003,28001,190.925447
28003,28002,60.344421
28003,28003,0.0
28003,28004,119.15007
28003,28005,297.372693
28003,28006,219.687526
28003,28007,445.859635
28003,28008,169.626759
28003,28009,19.133679
28003,28010,269.791586
28003,28011,124.766575
28003,28012,69.788658
28003,28013,202.126587
28003,28014,482.237263
28003,28015,432.357246
28003,28016,257.028734
28003,28017,185.546669
28003,28018,210.312367
28003,28019,151.782645
28003,28020,295.468712
28003,28021,113.272467
28003,28022,390.35516
28003,28023,310.131163
28003,28024,465.562117
28003,28025,459.270848
28003,28026,227.817191
28003,28027,588.236217
28003,28028,132.960606
28003,28029,152.225243
28003,28030,208.933595
28003,28031,193.621638
28003,28032,412.96321
28003,28033,399.431633
28003,28034,264.302925
28003,28035,274.162382
28003,28036,271.650013
28003,28037,155.411787
28003,28038,21.111147
28003,28039,194.256222
28003,28040,365.187518
28003,28041,193.970088
28003,28042,280.404188
28003,28043,123.461332
28004,28001,183.007931
28004,28002,111.438943
28004,28003,119.15007
28004,28004,0.0
28004,28005,268.127925
28004,28006,120.289597
28004,28007,419.65458
28004,28008,135.644384
28004,28009,132.518529
28004,28010,251.562685
28004,28011,37.911786
28004,28012,74.208543
28004,28013,152.500255
28004,28014,446.900211
28004,28015,412.736584
28004,28016,192.190337
28004,28017,99.736447
28004,28018,194.94465
28004,28019,85.789165
28004,28020,229.874139
28004,28021,24.494766
28004,28022,403.448219
28004,28023,289.899514
28004,28024,431.603875
28004,28025,428.318267
28004,28026,132.984931
28004,28027,550.620905
28004,28028,14.240646
28004,28029,41.844626
28004,28030,167.771286
28004,28031,96.206293
28004,28032,402.317811
28004,28033,394.634814
28004,28034,226.437497
28004,28035,272.422857
28004,28036,239.836202
28004,28037,162.411842
28004,28038,131.315171
28004,28039,81.482774
28004,28040,370.58827
28004,28041,131.573515
28004,28042,217.852894
28004,28043,51.714595
28005,28001,107.463336
28005,28002,237.174054
28005,28003,297.372693
28005,28004,268.127925
28005,28005,0.0
28005,28006,194.144892
28005,28007,152.391694
28005,28008,135.744593
28005,28009,315.858486
28005,28010,34.137075
28005,28011,230.259287
28005,28012,238.688988
28005,28013,116.201322
28005,28014,185.148096
28005,28015,144.666785
28005,28016,101.132136
28005,28017,181.115605
28005,28018,87.357982
28005,28019,182.419514
28005,28020,92.781591
28005,28021,245.551644
28005,28022,166.324988
28005,28023,28.575902
28005,28024,168.674073
28005,28025,163.313279
28005,28026,180.758314
28005,28027,291.128349
28005,28028,271.643269
28005,28029,239.978959
28005,28030,100.360123
28005,28031,198.048294
28005,28032,137.702455
28005,28033,135.251233
28005,28034,43.119239
28005,28035,65.402652
28005,28036,28.291854
28005,28037,144.258282
28005,28038,318.395034
28005,28039,235.852662
28005,28040,127.953689
28005,28041,139.798544
28005,28042,87.274285
28005,28043,217.32716
28006,28001,157.047163
28006,28002,181.463552
28006,28003,219.687526
28006,28004,120.289597
28006,28005,194.144892
28006,28006,0.0
28006,28007,333.598576
28006,28008,108.885631
28006,28009,237.12341
28006,28010,192.225063
28006,28011,96.421041
28006,28012,152.051734
28006,28013,93.367669
28006,28014,352.212215
28006,28015,332.728455
28006,28016,95.912705
28006,28017,39.136548
28006,28018,155.713662
28006,28019,76.04731
28006,28020,125.801371
28006,28021,111.252403
28006,28022,354.54679
