clave_inegi,municipio,latitud,longitud,produccion_ton
28001,Abasolo,24.060837,-98.374278,18598.2
28002,Aldama,22.919305,-98.073712,41847.65
28003,Altamira,22.391553,-97.936687,59002.0
28004,Antiguo Morelos,22.54942,-99.083617,5.4
28005,Burgos,24.946639,-98.79901,4019.4
28006,Bustamante,23.435477,-99.757808,0.0
28007,Camargo,26.316723,-98.835988,14948.76
28008,Casas,23.727133,-98.737842,39250.0
28009,Ciudad Madero,22.246278,-97.837,0.0
28010,Cruillas,24.755171,-98.534542,1092.0
28011,Gómez Farías,22.886455,-99.027775,961.6
28012,González,22.827328,-98.425968,63936.25
28013,Güémez,23.91914,-99.00833,6750.0
28014,Guerrero,26.566351,-99.227629,0.0
28015,Gustavo Díaz Ordaz,26.233966,-98.590282,13794.3
28016,Hidalgo,24.246944,-99.438055,3430.0
28017,Jaumave,23.40512,-99.375674,0.0
28018,Jiménez,24.214493,-98.485704,3608.5
28019,Llera,23.318959,-99.02363,10105.0
28020,Mainero,24.55904,-99.612688,371.0
28021,El Mante,22.743999,-98.971717,6716.05
28022,Matamoros,25.879915,-97.504823,404951.4
28023,Méndez,25.116548,-98.586217,118100.7
28024,Mier,26.43047,-99.148694,0.0
28025,Miguel Alemán,26.401018,-99.026109,4527.24
28026,Miquihuana,23.57395,-99.754197,0.0
28027,Nuevo Laredo,27.486291,-99.508493,0.0
28028,Nuevo Morelos,22.53447,-99.221332,0.0
28029,Ocampo,22.84504,-99.336024,225.0
28030,Padilla,24.048798,-98.900294,1486.0
28031,Palmillas,23.301759,-99.547539,10.0
28032,Reynosa,26.09235,-98.278129,259270.15
28033,Río Bravo,25.980996,-98.090138,379515.22
28034,San Carlos,24.581773,-98.943635,17197.2
28035,San Fernando,24.848678,-98.159621,377455.95
28036,San Nicolás,24.69364,-98.828745,74.0
28037,Soto la Marina,23.767038,-98.20619,26197.63
28038,Tampico,22.21606,-97.858387,0.0
28039,Tula,22.996877,-99.712998,630.0
28040,Valle Hermoso,25.673799,-97.812454,211199.0
28041,Victoria,23.731052,-99.15125,5773.0
28042,Villagrán,24.47319,-99.48811,1610.0
28043,Xicoténcatl,22.996771,-98.945677,1000.52
